Nuts_Sample_Code,Project,Sample Date,Transect,Station,Latitude,Longitude,DepthorPressure (m),NO3 (um),NO2 (um)
021616NH01,Ship of Opportunity,16-Feb-16,Newport Hydrographic,NH01,44.6517,-124.1,23,2.3402,0.2869
021616NH01,Ship of Opportunity,16-Feb-16,Newport Hydrographic,NH01,44.6517,-124.1,2,3.7483,0.3318
021616NH03,Ship of Opportunity,16-Feb-16,Newport Hydrographic,NH03,44.6517,-124.13,2,2.5074,0.2404
032616NH03,Ship of Opportunity,26-Mar-16,Newport Hydrographic,NH03,44.6517,-124.13,0,0.1958,0.0468
032616NH01,Ship of Opportunity,26-Mar-16,Newport Hydrographic,NH01,44.6517,-124.1,0,0.1239,0.0752
041816NH01,NH,18-Apr-16,Newport Hydrographic,NH01,44.6517,-124.1,0,0.1048,0.0586
041816NH03,NH,18-Apr-16,Newport Hydrographic,NH03,44.6517,-124.13,0,0.0385,0.0781
042816NH01,NH,28-Apr-16,Newport Hydrographic,NH01,44.6517,-124.1,0,0.0433,0.0915
042816NH03,NH,28-Apr-16,Newport Hydrographic,NH03,44.6517,-124.13,0,0.0074,0.0443
051216NH01,NH,12-May-16,Newport Hydrographic,NH01,44.6517,-124.1,0,20.161,0.2356
051216NH03,NH,12-May-16,Newport Hydrographic,NH03,44.6517,-124.13,0,18.9329,0.3167
052416NH01,Ship of Opportunity,24-May-16,Newport Hydrographic,NH01,44.6517,-124.1,0,0.0038,0.0628
052416NH03,Ship of Opportunity,24-May-16,Newport Hydrographic,NH03,44.6517,-124.13,0,0.0622,0.0434
070716NH01,NH,07-Jul-16,Newport Hydrographic,NH01,44.6517,-124.1,0,0.6297,0.0444
070716NH03,NH,07-Jul-16,Newport Hydrographic,NH03,44.6517,-124.13,0,0.1373,0.0332
080116NH01,NH,01-Aug-16,Newport Hydrographic,NH01,44.6517,-124.1,0,32.9843,0.1657
080116NH03,NH,01-Aug-16,Newport Hydrographic,NH03,44.6517,-124.13,0,31.1785,0.1938
082116NH01,Ship of Opportunity,21-Aug-16,Newport Hydrographic,NH01,44.6517,-124.1,0,18.0238,0.2694
082116NH03,Ship of Opportunity,21-Aug-16,Newport Hydrographic,NH03,44.6517,-124.13,0,1.4991,0.1307
090616NH01,NH,06-Sep-16,Newport Hydrographic,NH01,44.6517,-124.1,0,0,0
090616NH03,NH,06-Sep-16,Newport Hydrographic,NH03,44.6517,-124.13,0,0.0525,0
092016NH03,NH,20-Sep-16,Newport Hydrographic,NH03,44.6517,-124.13,0,0.0188,0.0137
092016NH01,NH,20-Sep-16,Newport Hydrographic,NH01,44.6517,-124.1,0,0.0723,0.0503
101116NH01,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH01,44.6517,-124.1,15,7.8982,0.323
101116NH01,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH01,44.6517,-124.1,5,3.057,0.165
101116NH03,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH03,44.6517,-124.13,20,10.8081,0.337
101116NH03,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH03,44.6517,-124.13,15,8.784,0.2685
101116NH03,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH03,44.6517,-124.13,1,1.6737,0.1255
101116NH03,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH03,44.6517,-124.13,10,6.63,0.2353
101116NH03,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH03,44.6517,-124.13,25,11.3384,0.376
101116NH03,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH03,44.6517,-124.13,40,14.6253,0.4597
101116NH03,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH03,44.6517,-124.13,30,13.4847,0.4228
101116NH03,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH03,44.6517,-124.13,5,4.7013,0.2446
101116NH01,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH01,44.6517,-124.1,24,8.8864,0.2817
101116NH01,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH01,44.6517,-124.1,20,9.4401,0.3158
101116NH01,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH01,44.6517,-124.1,1,2.7756,0.145
101116NH01,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH01,44.6517,-124.1,5,3.057,0.165
101116NH01,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH01,44.6517,-124.1,1,2.7756,0.145
101116NH01,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH01,44.6517,-124.1,24,8.8864,0.2817
101116NH01,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH01,44.6517,-124.1,20,9.4401,0.3158
101116NH01,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH01,44.6517,-124.1,10,7.0798,0.2374
101116NH01,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH01,44.6517,-124.1,10,7.0798,0.2374
101116NH01,Ship of Opportunity,11-Oct-16,Newport Hydrographic,NH01,44.6517,-124.1,15,7.8982,0.323
120616NH01,NH,06-Dec-16,Newport Hydrographic,NH01,44.6517,-124.1,0,5.287,0.2574
120616NH03,NH,06-Dec-16,Newport Hydrographic,NH03,44.6517,-124.13,0,5.5745,0.2847
011217NH03,NH,12-Jan-17,Newport Hydrographic,NH03,44.6517,-124.13,0,2.9827,0.1479
011217NH01,NH,12-Jan-17,Newport Hydrographic,NH01,44.6517,-124.1,0,2.7133,0.1871
021717NH03,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH03,44.6517,-124.13,15,6.6398,0.4019
021717NH03,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH03,44.6517,-124.13,30,5.7849,0.3527
021717NH03,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH03,44.6517,-124.13,5,7.1179,0.3757
021717NH03,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH03,44.6517,-124.13,20,6.0379,0.3815
021717NH03,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH03,44.6517,-124.13,40,6.3399,0.3079
021717NH03,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH03,44.6517,-124.13,10,6.9385,0.3857
021717NH01,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH01,44.6517,-124.1,20,6.8312,0.4197
021717NH01,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH01,44.6517,-124.1,1,7.4572,0.4226
021717NH01,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH01,44.6517,-124.1,5,7.4063,0.4143
021717NH01,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH01,44.6517,-124.1,15,6.9624,0.4037
021717NH01,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH01,44.6517,-124.1,25,6.3944,0.4052
021717NH01,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH01,44.6517,-124.1,10,7.1253,0.412
021717NH03,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH03,44.6517,-124.13,1,6.6298,0.3534
021717NH03,Ship of Opportunity,17-Feb-17,Newport Hydrographic,NH03,44.6517,-124.13,25,6.6836,0.4159
022517NH01,Ship of Opportunity,25-Feb-17,Newport Hydrographic,NH01,44.6517,-124.1,0,7.0571,0.3433
022517NH03,Ship of Opportunity,25-Feb-17,Newport Hydrographic,NH03,44.6517,-124.13,0,6.2485,0.3362
032017NH01,NH,20-Mar-17,Newport Hydrographic,NH01,44.6517,-124.1,0,3.208,0.2032
032017NH03,NH,20-Mar-17,Newport Hydrographic,NH03,44.6517,-124.13,0,7.3967,0.2141
041117NH01,NH,11-Apr-17,Newport Hydrographic,NH01,44.6517,-124.1,0,0.0898,0.0363
041117NH03,NH,11-Apr-17,Newport Hydrographic,NH03,44.6517,-124.13,0,1.5213,0.0898
042717NH03,NH,27-Apr-17,Newport Hydrographic,NH03,44.6517,-124.13,0,0,0.0693
042717NH01,NH,27-Apr-17,Newport Hydrographic,NH01,44.6517,-124.1,0,0.3214,0.089
052117NH01,Ship of Opportunity,21-May-17,Newport Hydrographic,NH01,44.6517,-124.1,15,22.5098,0.4344
052117NH03,Ship of Opportunity,21-May-17,Newport Hydrographic,NH03,44.6517,-124.13,3,5.5029,0.3168
052117NH03,Ship of Opportunity,21-May-17,Newport Hydrographic,NH03,44.6517,-124.13,10,6.5542,0.4259
052117NH03,Ship of Opportunity,21-May-17,Newport Hydrographic,NH03,44.6517,-124.13,15,12.8352,0.4126
052117NH03,Ship of Opportunity,21-May-17,Newport Hydrographic,NH03,44.6517,-124.13,30,24.9863,0.1855
052117NH03,Ship of Opportunity,21-May-17,Newport Hydrographic,NH03,44.6517,-124.13,43,29.3051,0.2364
